title,artist,genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
wallflower (none of this means anything),VIOLET NIGHT,rock,166,96,43,-4,5,28,179,0,22,31
Kiss Kiss,Blue River,rock,94,72,48,-10,10,35,124,2,4,36
Take Your Time,The Pale White,rock,124,76,63,-5,26,75,178,0,4,43
How Can Some Experience What Pride Is Without Liberation for All?,Jools,rock,75,94,48,-4,12,47,213,0,6,37
Losers,Charming Liars,rock,136,71,54,-6,25,34,217,0,3,30
American Gothic,IRONTOM,rock,83,99,44,-4,12,20,208,3,14,37
Close to the Sun,Stay Over,rock,121,56,73,-7,28,35,180,74,4,38
Back From The Dead,Reach NYC,rock,98,99,54,-4,18,32,224,0,7,42
John Doe,Adam Jensen,rock,163,93,46,-5,27,64,208,1,10,46
Animal Noise,Model Child,rock,162,79,45,-6,23,37,197,0,5,32
Loveless,Outloved,rock,135,75,55,-5,27,30,161,0,3,41
Fantasising,Skegss,rock,154,96,18,-3,32,43,207,0,10,53
Fantastic,Blame My Youth,rock,168,89,44,-5,95,35,133,3,6,42
New Invention,I DONT KNOW HOW BUT THEY FOUND ME,rock,180,85,49,-3,9,76,192,1,8,57
Sundance Kid,1990nowhere,rock,130,94,59,-3,22,75,141,0,5,49
Barred Out [Feat. TWIN XL],American Teeth,rock,160,86,54,-6,12,74,158,0,5,37
Same Old You,Tuk Smith & The Restless Hearts,rock,117,96,53,-3,11,75,195,0,4,33
Trouble’s Coming,Royal Blood,rock,112,69,77,-5,32,78,228,6,4,71
Everybody But Myself,Rad Horror,rock,100,68,70,-7,17,46,233,1,3,28
Freefall (feat. Oliver Tree),Whethan,rock,127,67,56,-7,55,81,155,1,6,65
One Step Away,Moon Taxi,rock,122,87,66,-7,11,39,196,1,6,48
cycle,Smallpools,rock,101,77,52,-5,12,69,178,0,5,49
Brand New Thing,Zayde Wølf,rock,164,94,44,-4,11,21,177,0,13,47
Juvenile Mind,Cadmium,rock,172,54,54,-5,52,51,214,37,4,51
Shovel It In,Big Spring,rock,170,84,32,-6,41,48,196,0,5,34
Somewhere Nowhere,Hundredth,rock,177,87,27,-4,7,28,187,5,8,40
Deadwood,Goldminds,rock,93,75,32,-5,8,31,221,0,4,35
Impossible,Nothing But Thieves,rock,83,52,51,-7,10,13,248,4,3,67
that won't save us,Against The Current,rock,155,84,47,-6,8,37,201,0,4,59
The Kid I Used to Know,Arrested Youth,rock,160,78,64,-5,18,27,146,7,8,62
blood (feat. KennyHoopla & JUDGE),"nothing,nowhere.",rock,81,82,61,-4,14,85,158,4,15,58
Bleach,Hurtwave,rock,79,79,48,-7,10,20,199,3,5,41
stfu,phem,rock,164,66,60,-7,14,32,125,35,9,53
These Nights,We The Kings,rock,130,93,57,-4,9,36,208,0,10,51
Falling out of Rhythm (feat. Travis Barker),Marigolds+Monsters,rock,190,81,39,-7,28,35,215,0,6,48
Kingdom,All Good Things,rock,160,94,49,-4,30,60,273,0,7,51
Walk Away,No Love For The Middle Child,rock,103,87,58,-4,5,54,158,2,5,48
Live A Little,Chaz Cardigan,rock,165,87,59,-5,13,89,170,13,5,46
Cool Song,Tribe Friday,rock,88,90,43,-6,8,60,162,0,10,41
Shades,Merge,rock,142,87,44,-6,13,40,230,0,5,41
shift & go,Little Luna,rock,132,62,58,-7,11,20,213,7,3,39
Radio-Active,DE'WAYNE,rock,160,92,56,-7,14,67,187,2,16,41
Sick Boy,Weapons of Anew,rock,180,67,52,-9,28,38,195,1,11,50
Bluebird,Gus Dapperton,rock,135,81,71,-5,27,77,228,0,4,57
Slack,Hundredth,rock,104,89,47,-5,18,34,227,3,5,38
Between Heaven & Hell,Levi Conner,rock,145,75,43,-5,30,42,277,14,4,35
Glass Spiders,Hot Milk,rock,88,89,48,-4,13,37,215,0,11,46
Operator,Luna Bay,rock,136,82,47,-6,35,51,206,0,4,34
Runaway,Castlecomer,rock,174,75,29,-8,31,43,204,1,5,44
Perfectly Untrue,Lucia & The Best Boys,rock,118,86,63,-3,32,87,192,10,3,47
Leave Me Alone,Culture Wars,rock,154,62,52,-7,38,52,183,0,3,44
The Rift,Chappaqua Wrestling,rock,148,68,29,-4,32,37,229,0,4,46
First Train,Mayday Parade,rock,130,93,54,-7,18,29,215,0,6,56
Good News,My Kid Brother,rock,115,69,71,-3,7,44,190,11,5,39
You Are the Traffic,COIN,rock,188,63,43,-6,16,51,193,22,7,56
James Crow,Mobley,rock,160,91,65,-3,24,96,175,27,7,50
Stuck With Yourself,NEW LANGUAGE,rock,110,70,67,-8,62,77,205,2,3,33
Teddy Bear,DREAMERS,rock,110,75,82,-5,11,97,179,1,3,47
Heart Of A Champion (feat. Papa Roach & Ice Nine Kills),Hollywood Undead,rock,170,93,48,-4,35,76,210,0,8,66
Around the Bend,Strata,rock,146,94,39,-4,37,56,214,0,5,36
Look Better In Gold,Friday Pilots Club,rock,160,88,57,-5,11,77,205,1,7,44
Kevin,Slomosa,rock,152,63,47,-10,16,51,167,0,4,45
All I Need,Jake Bugg,rock,170,73,50,-4,8,64,216,0,4,58
H B I C,Gin Wigmore,rock,103,93,53,-3,33,65,158,1,5,49
Ponderosa Sun Club,Narrow Head,rock,160,98,25,-4,34,25,237,0,10,38
Adrenaline,Zero 9:36,rock,140,73,51,-6,6,23,204,0,4,52
Dirty,grandson,rock,160,85,54,-6,5,60,208,0,6,69
I Wish I Was A...,NOISY,rock,120,95,61,-3,28,65,195,1,15,54
Wild Things,Seaway,rock,122,87,62,-5,8,71,201,0,3,42
Greyscale,Sleeping Wolf,rock,133,88,48,-6,34,38,192,1,11,41
Boys From The Puget Sound,Ayron Jones,rock,148,71,53,-6,8,43,214,0,7,45
Buckhead,Hardcastle,rock,155,86,42,-5,9,61,211,0,4,38
Young Life Crisis,UPSAHL,rock,144,79,60,-4,12,72,157,13,7,50
Beautiful Way,You Me At Six,rock,171,92,38,-4,15,45,226,1,5,62
Let You,DYLYN,rock,168,70,53,-5,25,69,187,1,4,36
Selfish Love,LOWBORN,rock,120,72,65,-7,10,47,227,20,7,39
Tally-Ho,Psychedelic Porn Crumpets,rock,162,91,34,-5,46,46,202,0,11,45
Let's Talk,Bad Juju,rock,128,94,63,-3,9,78,193,1,7,32
Liquor & High,The Dumes,rock,150,91,46,-5,5,82,216,0,6,31
Santiago Peak,Movements,rock,132,96,59,-4,35,58,253,0,3,49
I Want To Be With You,chloe moriondo,rock,120,43,75,-7,10,39,178,2,4,57
Save Us,Atreyu,rock,165,82,41,-5,9,39,142,0,7,61
LITTLE GODZ,Holy Wars,rock,84,91,50,-4,42,35,189,1,13,42
Bullets in the Dark (feat. MOD SUN),No Love For The Middle Child,rock,140,92,67,-4,12,95,182,1,5,48
MBO,Love Under The Sun,rock,49,76,22,-7,10,46,202,0,7,33
Queen of the Desert,Grizfolk,rock,120,89,53,-6,18,60,155,0,5,43
Think I'm Crazy,Two Feet,rock,120,80,76,-5,20,78,183,12,6,64
Morningside,Saint Blonde,rock,145,76,63,-6,21,47,206,0,6,32
lost cause// (with grandson),KennyHoopla,rock,116,68,70,-5,9,48,171,0,4,58
Lowkey As Hell,Waterparks,rock,100,82,64,-4,16,43,136,4,7,59
Just Wanna,Troi Irons,rock,118,78,65,-5,24,38,191,0,11,51
Breath of Life,Bemore,rock,193,91,32,-7,13,28,192,0,6,37
Any Way You Wanna Love,Meg Myers,rock,112,83,70,-5,23,19,212,12,4,50
Best Boy,JJ Wilde,rock,92,90,61,-4,11,73,188,5,8,46
Vagabond (feat. Czarface),MISSIO,rock,150,81,61,-7,35,69,230,5,16,48
When It Breaks,Inhaler,rock,146,96,43,-6,19,21,221,0,9,57
Smile,Mourners,rock,95,86,66,-3,7,65,188,7,15,37
Monsters,Foreign Air,rock,90,67,55,-5,11,17,224,1,3,53
See You In Heaven,JunkBunny,rock,118,55,65,-8,4,56,252,0,8,36
Let It Ride,The Blue Stones,rock,128,90,53,-4,27,54,218,0,4,55
Nothing Personal,Des Rocs,rock,85,83,44,-5,13,27,263,2,5,53
Self Saboteur,Kid Kapichi,rock,148,93,29,-3,12,71,178,0,5,40
Invincible (feat. Lindsey Stirling),Escape the Fate,rock,150,90,51,-5,47,35,232,0,4,60
the car,Nightly,rock,106,64,72,-5,14,83,165,29,4,51
Breakdown,Kayzo,rock,180,99,45,-1,7,11,249,2,45,52
"My Way, Soon",Greta Van Fleet,rock,132,94,41,-4,9,44,255,0,6,64
Call Me Crazy,ARXX,rock,75,45,66,-7,10,55,205,34,3,40
4AM,KID BRUNSWICK,rock,62,44,65,-6,15,37,165,6,3,56
Leaves,joe p,rock,133,90,51,-8,13,63,244,1,6,53
Visitor,Of Monsters and Men,rock,82,87,57,-5,12,48,207,0,3,63
Sucker Punch,Dead Emerson,rock,168,72,51,-6,7,61,146,1,4,43
Pillz (The Sky Is Falling),Love Ghost,rock,178,86,42,-5,12,34,156,0,24,45
Wild Child (with Tom Morello),The Struts,rock,156,89,23,-3,37,27,223,0,10,56
I Don't Know Where We Went Wrong,HOKO,rock,160,80,51,-6,12,52,203,2,3,46
Hate Me,Marlo The Barbarian,rock,154,86,56,-6,10,39,190,11,5,43
Undertaker,Moon Fever,rock,118,66,23,-6,30,44,168,0,4,32
I Feel the Transition,The Zolas,rock,99,89,41,-5,43,51,288,0,3,40
Love Spells,POORSTACY,rock,155,89,46,-4,36,53,149,2,3,52
lmho,flor,rock,174,58,44,-6,52,57,222,0,5,53
Just Be Friends,Kulick,rock,166,68,54,-7,8,33,216,8,4,41
Neverlost,The Dumes,rock,151,94,43,-4,7,69,183,1,13,41
Haunting Me,Loveless,rock,159,90,47,-5,19,48,174,0,9,38
pretend,"nothing,nowhere.",rock,160,84,52,-5,35,69,180,2,10,59
Holy Water,Normandie,rock,120,74,63,-5,16,69,226,2,7,51
Archives,Pærish,rock,122,85,41,-3,10,34,198,0,5,41
Alien,Dennis Lloyd,dance & electronic,118,77,71,-5,8,42,139,1,5,80
Weekend,LIZOT,dance & electronic,124,92,68,-6,17,27,133,6,17,76
Praise (feat. Gunna),Tchami,dance & electronic,124,68,74,-10,31,80,210,4,5,67
I Don't Wanna Know,Punctual,dance & electronic,120,83,68,-6,34,75,165,0,5,67
Another Life (feat. Alida),Lucas & Steve,dance & electronic,124,65,54,-6,13,26,212,1,4,67
Space,Becky Hill,dance & electronic,122,81,54,-5,13,31,198,3,6,66
More Than Words (feat. MNEK),Sleepwalkrs,dance & electronic,124,89,67,-5,25,71,167,2,4,66
Astronomia (Never Go Home),Tony Igy,dance & electronic,126,81,70,-5,32,56,157,4,7,65
Need You Now,Armin van Buuren,dance & electronic,125,79,67,-5,10,35,182,1,4,65
All On Me (feat. Zhu),Tchami,dance & electronic,122,66,80,-7,30,32,250,1,8,64
What You Want,Blinkie,dance & electronic,125,72,69,-9,18,51,240,0,8,64
Feel Like I Do,Vin Diesel,dance & electronic,106,70,74,-6,11,48,186,3,4,64
Don't Say Goodbye,Robin M,dance & electronic,123,52,96,-6,7,61,137,14,5,64
I Want It All,Lucas & Steve,dance & electronic,120,73,61,-6,11,48,192,4,4,63
LIES,Steve Aoki,dance & electronic,124,94,70,-6,24,73,167,1,18,63
Heal Me - Biscits Remix,FARR,dance & electronic,126,81,81,-6,68,64,177,5,12,62
All 4 Love (feat. Tasty Lopez),Mark Knight,dance & electronic,124,79,76,-4,41,62,206,2,7,62
NOPUS,Eric Prydz,dance & electronic,127,94,49,-5,12,17,200,0,4,61
Burning,Gorgon City,dance & electronic,124,75,68,-7,12,81,181,18,5,61
For a Feeling (feat. RHODES),CamelPhat,dance & electronic,122,90,64,-8,6,4,296,0,4,61
Unbreakable (feat. Clarence Coffee Jr.),BUNT.,dance & electronic,127,74,44,-3,13,21,239,1,4,61
Water (feat. ZOHARA),KREAM,dance & electronic,122,74,57,-6,21,43,193,1,15,60
Paradise,VIZE,dance & electronic,130,73,88,-4,4,91,156,7,5,60
Nightlight - MOTi Remix,ILLENIUM,dance & electronic,126,77,64,-6,24,39,189,12,6,60
TRUE,STRANGR,dance & electronic,120,69,72,-7,7,57,156,23,14,60
Haunt Me,Kaskade,dance & electronic,122,76,66,-13,14,5,299,18,4,59
Change,TSHA,dance & electronic,122,80,62,-6,23,68,190,83,3,59
High Like This,Yves V,dance & electronic,122,83,82,-5,12,39,169,6,5,59
My Mother Told Me - Vikings Anthem,L.B. One,dance & electronic,140,97,65,-4,26,20,197,1,21,59
Home,Solomun,dance & electronic,120,71,68,-11,18,26,221,1,4,58
Burnin,Petit Biscuit,dance & electronic,114,55,85,-9,8,78,176,4,6,58
Run,Lane 8,dance & electronic,124,80,37,-7,25,23,230,2,4,58
Honesty (Jersey Club Remix),Pink Sweat$,dance & electronic,136,39,87,-11,20,71,131,54,58,58
The Prince,Madeon,dance & electronic,95,78,61,-6,32,30,223,0,4,58
Nights With You,Nicky Romero,dance & electronic,150,75,58,-5,25,61,149,38,5,58
By Your Side,Mike Perry,dance & electronic,123,81,64,-5,9,43,155,3,5,58
KNOW ME (feat. Gallant) - Cassian Remix,BRONSON,dance & electronic,125,90,59,-7,12,4,313,0,3,57
Invincible,Don Diablo,dance & electronic,126,91,60,-3,11,7,206,2,6,57
Follow (with Jeremih) [Dillon Francis Remix],Kito,dance & electronic,125,73,74,-7,4,40,186,1,3,57
Cappadocia,Ben Böhmer,dance & electronic,123,69,35,-9,12,28,282,0,4,57
Harmony,Felix Cartal,dance & electronic,124,88,65,-3,68,37,174,3,4,57
Chains Chilled (with Project 46),Kaskade,dance & electronic,118,82,66,-6,10,13,220,36,10,56
The Original,Dualities,dance & electronic,126,86,67,-5,11,43,174,2,4,56
Children - Edit Mix,Tinlicker,dance & electronic,124,91,64,-9,11,4,246,2,4,55
The Feelings,Boye & Sigvardt,dance & electronic,121,76,81,-7,29,18,185,12,8,55
Love Is Killing Me,BONNIE X CLYDE,dance & electronic,126,87,68,-5,12,37,160,17,6,55
Step It Up (feat. Sharlene Hector),Armand Van Helden,dance & electronic,123,94,76,-3,82,69,194,5,7,55
Sad Songs (feat. L Devine),Route 94,dance & electronic,124,82,70,-5,7,63,192,9,4,54
Pepper Shake,Jamie Jones,dance & electronic,127,90,75,-8,6,30,397,0,4,54
Milavain (African Skies) [with TRESOR & Sam Feldt],JeeCee,dance & electronic,120,88,74,-4,27,53,187,19,16,54
Convo,Coco & Breezy,dance & electronic,120,55,85,-10,11,49,202,30,8,54
Somebody New,TELYKast,dance & electronic,124,81,77,-4,7,31,145,3,3,53
Crawl,Syn Cole,dance & electronic,120,75,63,-6,23,52,196,23,5,53
Mesmerize,Duck Sauce,dance & electronic,126,98,70,-4,9,76,240,4,6,53
Clouds (feat. The Wombats),Whethan,dance & electronic,160,71,57,-6,26,43,168,0,17,53
You're Not Alone,Matt Nash,dance & electronic,124,70,51,-6,17,11,186,0,3,53
Painkiller,Joe Killington,dance & electronic,124,83,66,-4,17,32,174,0,16,53
Sunburn - Reimagined,DROELOE,dance & electronic,106,69,83,-5,11,50,248,1,3,53
Girl,KC Lights,dance & electronic,123,92,63,-8,18,26,159,0,4,53
Tear It Up - Oliver Heldens Remix,Solardo,dance & electronic,125,94,64,-4,23,61,222,1,4,53
Somebody Loves You,Aly & Fila,dance & electronic,140,97,44,-5,30,14,345,0,5,52
The Silence,Ellipso,dance & electronic,128,73,77,-6,23,33,126,6,14,52
You Don't Know,Franky Wah,dance & electronic,130,95,31,-4,52,33,199,16,5,52
Friends In Secret,CRi,dance & electronic,116,65,77,-7,11,47,368,0,5,52
Flex & Pump (with MOTi),BODYWORX,dance & electronic,126,76,76,-6,6,72,140,4,13,52
Nights Like That (feat. Georgia Ku),BUNT.,dance & electronic,110,78,52,-3,10,47,192,0,7,52
Scuff Your Soul,LP Giobbi,dance & electronic,124,86,67,-5,68,30,162,10,4,51
Look Like Me,Niniola,dance & electronic,118,72,83,-6,7,54,286,0,5,51
Indian Summer,EDX,dance & electronic,121,45,75,-6,10,9,200,20,4,51
Mistakes,Sunlike Brothers,dance & electronic,126,70,79,-5,14,37,157,10,5,51
Colours,Mat Zo,dance & electronic,125,81,63,-6,14,11,269,3,10,50
Temper Temper (feat. ONR),Sander van Doorn,dance & electronic,126,79,64,-7,65,40,214,1,5,50
